Opportunity_ID,Closed_Won_Date,Owner_User_ID,Contract_Length_Months,Total_Contract_Value,First_Payment_Date
10286,1/1/2022,A,30,15600,1/20/2022
10272,1/11/2022,B,36,1800,2/1/2022
10230,1/16/2022,D,12,5500,1/20/2022
10237,1/20/2022,B,20,17000,12/9/2021
10110,1/22/2022,D,12,6000,3/29/2022
10281,1/26/2022,A,12,5115,2/23/2022
10276,1/27/2022,A,12,14412,2/1/2022
10133,1/31/2022,C,36,15260,3/5/2022
10271,1/31/2022,A,12,12000,2/10/2022
10282,2/1/2022,B,36,6589,2/22/2022
10265,2/3/2022,D,12,15000,3/21/2022
10266,2/3/2022,A,36,18000,2/14/2022
10277,2/3/2022,B,12,15000,2/28/2022
10128,2/5/2022,C,12,28800,4/5/2022
10270,2/8/2022,D,36,29250,3/8/2022
10131,2/14/2022,A,12,24000,
10150,2/21/2022,D,12,31140,3/11/2022
10288,2/23/2022,C,12,10500,3/4/2022
10260,2/24/2022,D,12,12500,4/10/2022
10160,2/26/2022,D,12,26500,3/29/2022
10165,2/26/2022,D,12,1500,3/27/2022
10145,2/27/2022,D,20,8750,5/11/2022
10151,2/28/2022,A,24,4000,5/3/2022
10156,2/28/2022,A,12,5175,5/4/2022
10155,3/2/2022,D,12,12000,3/25/2022
10291,3/2/2022,A,30,85000,6/12/2022
10140,3/5/2022,D,12,5600,5/1/2022
10141,3/5/2022,A,12,20000,5/2/2022
10285,3/6/2022,D,36,15000,4/5/2022
10287,3/6/2022,B,30,7200,4/6/2022
10290,3/9/2022,D,12,64000,6/1/2022
10001,3/13/2022,A,12,45000,
10280,3/13/2022,D,36,15000,3/14/2022
10052,3/15/2022,B,12,3360,5/27/2022
10046,3/16/2022,A,12,3000,3/24/2022
10051,3/16/2022,A,30,24000,
10215,3/16/2022,D,12,2000,5/14/2022
10246,3/20/2022,A,12,7200,3/22/2022
10045,3/21/2022,D,30,18000,4/19/2022
10058,3/21/2022,C,20,5000,5/30/2022
10025,3/22/2022,D,12,25000,5/29/2022
10042,3/22/2022,B,12,1125,4/11/2022
10241,3/22/2022,A,12,7000,4/27/2022
10027,3/23/2022,B,12,360,4/24/2022
10028,3/23/2022,C,12,7200,4/30/2022
10245,3/23/2022,D,12,3000,4/13/2022
10232,3/24/2022,B,12,13400,4/7/2022
10233,3/24/2022,C,12,6600,3/26/2022
10020,3/26/2022,D,12,12000,5/4/2022
10035,3/26/2022,D,30,3000,4/7/2022
10036,3/26/2022,A,30,12000,6/8/2022
10023,3/27/2022,C,12,88000,4/16/2022
10033,3/27/2022,C,12,24000,5/10/2022
10240,3/27/2022,D,20,8025,4/24/2022
10030,3/28/2022,D,30,27500,4/5/2022
10210,3/28/2022,D,12,18000,4/2/2022
10213,3/28/2022,C,12,14000,5/11/2022
10183,3/29/2022,C,20,7200,5/4/2022
10205,3/29/2022,D,12,2400,4/2/2022
10206,3/29/2022,A,12,18000,4/23/2022
10208,3/29/2022,C,12,5000,5/9/2022
10216,3/29/2022,A,12,18000,5/2/2022
10225,3/29/2022,D,12,8500,6/6/2022
10226,3/29/2022,A,12,9000,
10221,3/30/2022,A,12,29000,6/7/2022
10222,3/30/2022,B,12,6000,5/7/2022
10185,3/31/2022,D,12,15000,4/6/2022
10186,3/31/2022,A,12,7000,4/13/2022
10188,3/31/2022,C,12,25000,4/23/2022
10190,3/31/2022,D,12,5000,4/21/2022
10191,3/31/2022,A,12,15000,6/9/2022
10192,3/31/2022,B,12,3999,6/1/2022
10195,3/31/2022,D,12,57500,4/10/2022
10198,3/31/2022,C,12,17600,6/1/2022
10196,4/1/2022,A,20,70200,4/13/2022
10180,4/17/2022,D,12,26052,5/24/2022
10181,4/17/2022,A,12,948,5/24/2022
10193,4/18/2022,C,12,4800,6/1/2022
10012,4/20/2022,B,12,15996,5/10/2022
10207,4/21/2022,B,27,20000,5/7/2022
10013,4/23/2022,C,12,1575,5/31/2022
10011,4/24/2022,A,36,30000,
10008,4/25/2022,C,12,32686,4/30/2022
10017,4/26/2022,B,36,85001,
10016,4/27/2022,A,36,15000,
10295,4/28/2022,D,12,15400,6/3/2022
10296,4/28/2022,A,12,20000,6/6/2022
10003,4/30/2022,C,12,46667,6/20/2022
10010,4/30/2022,D,36,28500,6/11/2022
10015,4/30/2022,D,12,72000,5/20/2022
10303,4/30/2022,C,12,12000,5/3/2022
10006,5/1/2022,A,12,4500,
10007,5/1/2022,B,12,27000,6/30/2022
10002,5/3/2022,B,36,23333,5/15/2022
10005,5/3/2022,D,12,24000,5/11/2022
10297,5/3/2022,B,12,17980,5/12/2022
10300,5/3/2022,D,30,15000,5/7/2022
10293,5/6/2022,C,30,15000,5/24/2022
10298,5/9/2022,C,12,10812,5/25/2022
10301,5/11/2022,A,30,15000,6/28/2022
10235,5/26/2022,D,20,7200,5/23/2022
10236,5/26/2022,A,20,20000,6/9/2022
10302,5/31/2022,B,12,215000,6/8/2022
10200,6/2/2022,D,12,200000,6/22/2022
10316,6/2/2022,A,16,4295,6/20/2022
10306,6/20/2022,A,12,9000,6/27/2022
10311,6/20/2022,A,12,27500,6/1/2022
10312,6/22/2022,B,12,14400,
10307,6/27/2022,B,30,18000,
10310,6/28/2022,D,12,90000,
10305,6/30/2022,D,12,15600,
10308,6/30/2022,C,12,75000,
10313,6/30/2022,C,12,24000,
10315,6/30/2022,D,12,34000,
10317,6/30/2022,B,36,15000,
10318,6/30/2022,C,12,64000,
